name_other,name,R1
mut-virus_1,BF520-M1-mock,BF520-M1-mock_S2_L001_R1_001.fastq.gz
mut-virus_1_PGT151_1ug,BF520-M1-PGT151-1ug,BF520-M1-PGT151-1ug_S7_L001_R1_001.fastq.gz
mut-virus_1_6.1.G2_0.17uM,BF520-M1-6-1-G2-0-17uM,BF520-M1-6-1-G2-0-17uM_S3_L001_R1_001.fastq.gz
mut-virus_1_6.1.G2_0.56uM,BF520-M1-6-1-G2-0-56uM,BF520-M1-6-1-G2-0-56uM_S4_L001_R1_001.fastq.gz
mut-virus_1_112.2.C11_0.17uM,BF520-M1-112-2-C11-0-17uM,BF520-M1-112-2-C11-0-17uM_S5_L001_R1_001.fastq.gz
mut-virus_1_112.2.C11_0.56uM,BF520-M1-112-2-C11-0-56uM,BF520-M1-112-2-C11-0-56uM_S6_L001_R1_001.fastq.gz
wt-DNA,BF520-wt-DNA,BF520-wt-DNA_S8_L001_R1_001.fastq.gz
wt-virus_1,BF520-wt-1-mock,BF520-wt-1-mock_S1_L001_R1_001.fastq.gz
